nomZona;edad;sexe;nacionalitat;quantitat
SANT SALVADOR;16;H;ESTRANGER;13
SANT SALVADOR;33;D;ESTRANGER;18
ARRABASSADA I SAVINOSA;46;H;ESPANYA;33
TARRAGONA;14;D;ESPANYA;257
CAMPSA;75;H;ESPANYA;10
SANT PERE I SANT PAU;14;H;ESPANYA;102
MONTGONS (ELS);14;D;ESPANYA;13
BONAVISTA;34;D;ESPANYA;44
FERRAN;65;H;ESPANYA;2
MONNARS;46;D;ESTRANGER;4
TORREFORTA;14;H;ESTRANGER;40
SANT SALVADOR;38;D;ESPANYA;22
SANT SALVADOR;32;D;ESPANYA;23
ARRABASSADA I SAVINOSA;67;D;ESTRANGER;3
BONAVISTA;63;H;ESTRANGER;4
CAMPSA;76;D;ESTRANGER;2
TORREFORTA;15;D;ESTRANGER;36
FERRAN;15;H;ESPANYA;1
MONTGONS (ELS);64;D;ESPANYA;5
MONNARS;62;H;ESPANYA;22
ARRABASSADA I SAVINOSA;13;H;ESPANYA;29
MONNARS;30;H;ESTRANGER;2
CALA ROMANA;13;H;ESPANYA;8
CALA ROMANA;63;H;ESPANYA;5
MONTGONS (ELS);56;D;ESPANYA;13
BONAVISTA;27;H;ESPANYA;37
BONAVISTA;80;D;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);38;H;ESPANYA;5
MONNARS;45;H;ESPANYA;12
ARRABASSADA I SAVINOSA;18;D;ESPANYA;33
TORREFORTA;12;H;ESPANYA;109
ARRABASSADA I SAVINOSA;35;H;ESPANYA;22
BONAVISTA;12;H;ESPANYA;31
CALA ROMANA;47;D;ESTRANGER;3
MONNARS;41;H;ESTRANGER;3
PINEDES (LES);38;H;ESTRANGER;1
SANT SALVADOR;23;D;ESTRANGER;12
TORREFORTA;20;H;ESTRANGER;49
MONTGONS (ELS);11;H;ESPANYA;18
TAMARIT;11;D;ESPANYA;12
CALA ROMANA;11;D;ESPANYA;4
MONNARS;11;D;ESPANYA;10
CAMPSA;41;H;ESPANYA;7
OLIVA (L`);11;H;ESPANYA;1
BONAVISTA;20;H;ESTRANGER;14
MONTGONS (ELS);36;D;ESPANYA;17
MONTGONS (ELS);12;H;ESTRANGER;6
ARRABASSADA I SAVINOSA;50;H;ESTRANGER;7
SANT SALVADOR;30;D;ESTRANGER;21
BOSCOS DE TARRAGONA (ELS);36;H;ESPANYA;6
TARRAGONA;10;D;ESPANYA;243
ARRABASSADA I SAVINOSA;10;D;ESPANYA;30
TORREFORTA;10;H;ESPANYA;105
SANT PERE I SANT PAU;10;H;ESPANYA;92
SANT PERE I SANT PAU;10;H;ESTRANGER;17
CALA ROMANA;37;D;ESPANYA;2
TAMARIT;10;H;ESPANYA;9
TORREFORTA;81;D;ESTRANGER;3
SANT PERE I SANT PAU;32;D;ESTRANGER;29
ARRABASSADA I SAVINOSA;17;H;ESTRANGER;4
SANT SALVADOR;30;D;ESPANYA;21
CAMPSA;61;D;ESPANYA;7
SANT SALVADOR;11;H;ESTRANGER;17
TAMARIT;90;D;ESPANYA;2
SANT SALVADOR;86;D;ESPANYA;10
TORREFORTA;9;H;ESPANYA;111
ARRABASSADA I SAVINOSA;9;H;ESPANYA;31
BONAVISTA;9;H;ESPANYA;48
BONAVISTA;9;D;ESPANYA;34
BONAVISTA;9;D;ESTRANGER;24
ARRABASSADA I SAVINOSA;41;H;ESPANYA;20
MONNARS;9;D;ESPANYA;8
TAMARIT;75;H;ESPANYA;11
TAMARIT;9;H;ESPANYA;15
CAMPSA;36;H;ESPANYA;5
FERRAN;10;H;ESPANYA;1
SANT PERE I SANT PAU;59;H;ESTRANGER;13
BONAVISTA;66;H;ESTRANGER;7
TORREFORTA;8;D;ESPANYA;105
MONNARS;34;H;ESPANYA;10
BONAVISTA;67;H;ESTRANGER;6
CAMPSA;63;H;ESPANYA;6
TARRAGONA;8;D;ESTRANGER;81
BOSCOS DE TARRAGONA (ELS);41;D;ESPANYA;5
BONAVISTA;83;H;ESTRANGER;1
CAMPSA;15;D;ESTRANGER;7
MONTGONS (ELS);30;H;ESPANYA;12
SANT SALVADOR;72;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;79;H;ESPANYA;16
TORREFORTA;7;H;ESPANYA;108
CAMPSA;28;D;ESPANYA;9
TAMARIT;95;D;ESPANYA;1
TAMARIT;28;H;ESPANYA;8
SANT SALVADOR;32;D;ESTRANGER;23
SANT SALVADOR;32;H;ESTRANGER;16
TORREFORTA;16;D;ESTRANGER;27
SANT SALVADOR;8;H;ESTRANGER;16
PINEDES (LES);8;H;ESPANYA;2
SANT PERE I SANT PAU;6;D;ESTRANGER;16
TARRAGONA;6;D;ESPANYA;198
SANT SALVADOR;6;D;ESPANYA;30
BOSCOS DE TARRAGONA (ELS);7;H;ESPANYA;5
CALA ROMANA;34;H;ESPANYA;7
ARRABASSADA I SAVINOSA;22;D;ESTRANGER;2
BONAVISTA;6;H;ESTRANGER;23
ARRABASSADA I SAVINOSA;38;D;ESTRANGER;11
OLIVA (L`);67;H;ESPANYA;2
BOSCOS DE TARRAGONA (ELS);40;D;ESTRANGER;2
TARRAGONA;5;H;ESPANYA;201
FERRAN;48;D;ESPANYA;1
ARRABASSADA I SAVINOSA;33;D;ESTRANGER;5
MONNARS;57;H;ESPANYA;7
TARRAGONA;19;D;ESPANYA;298
TORREFORTA;5;H;ESPANYA;96
ARRABASSADA I SAVINOSA;48;D;ESTRANGER;6
CAMPSA;90;H;ESPANYA;1
TORREFORTA;6;H;ESTRANGER;29
TORREFORTA;5;D;ESPANYA;89
ARRABASSADA I SAVINOSA;42;D;ESTRANGER;8
ARRABASSADA I SAVINOSA;39;D;ESTRANGER;4
BOSCOS DE TARRAGONA (ELS);34;D;ESPANYA;2
SANT SALVADOR;21;D;ESTRANGER;12
BONAVISTA;5;H;ESTRANGER;15
ARRABASSADA I SAVINOSA;30;H;ESPANYA;12
