nomZona;edad;sexe;nacionalitat;quantitat
TORREFORTA;62;H;ESTRANGER;15
BONAVISTA;45;H;ESTRANGER;26
MONTGONS (ELS);48;D;ESTRANGER;7
SANT PERE I SANT PAU;61;D;ESPANYA;67
BOSCOS DE TARRAGONA (ELS);21;D;ESPANYA;6
SANT SALVADOR;57;H;ESTRANGER;22
TORREFORTA;21;D;ESTRANGER;38
CAMPSA;55;D;ESTRANGER;3
SANT PERE I SANT PAU;82;H;ESTRANGER;1
BONAVISTA;72;H;ESPANYA;27
SANT PERE I SANT PAU;77;H;ESPANYA;51
TAMARIT;80;D;ESPANYA;4
CAMPSA;65;H;ESPANYA;6
TARRAGONA;39;H;ESPANYA;287
BONAVISTA;83;H;ESPANYA;14
TORREFORTA;25;D;ESTRANGER;50
SANT SALVADOR;57;D;ESTRANGER;10
TAMARIT;22;D;ESPANYA;7
SANT SALVADOR;42;H;ESPANYA;32
TARRAGONA;20;H;ESPANYA;317
TARRAGONA;40;D;ESTRANGER;168
TARRAGONA;34;H;ESTRANGER;203
TARRAGONA;66;D;ESTRANGER;51
TORREFORTA;54;D;ESTRANGER;42
TORREFORTA;29;H;ESTRANGER;81
SANT SALVADOR;37;H;ESTRANGER;32
MONNARS;55;H;ESPANYA;13
CAMPSA;31;D;ESTRANGER;5
SANT SALVADOR;56;D;ESTRANGER;11
TORREFORTA;65;D;ESTRANGER;16
TORREFORTA;35;D;ESTRANGER;61
TAMARIT;20;D;ESPANYA;9
TORREFORTA;71;H;ESTRANGER;11
TAMARIT;60;D;ESPANYA;12
ARRABASSADA I SAVINOSA;45;D;ESPANYA;44
BOSCOS DE TARRAGONA (ELS);66;D;ESPANYA;18
BONAVISTA;40;D;ESTRANGER;35
SANT PERE I SANT PAU;37;D;ESTRANGER;41
BONAVISTA;41;D;ESPANYA;47
CAMPSA;60;D;ESTRANGER;1
CAMPSA;74;H;ESTRANGER;1
TAMARIT;31;H;ESPANYA;2
SANT SALVADOR;79;D;ESPANYA;27
TORREFORTA;22;H;ESTRANGER;52
TARRAGONA;38;H;ESTRANGER;173
CAMPSA;52;H;ESPANYA;9
TARRAGONA;79;D;ESTRANGER;17
TORREFORTA;84;D;ESTRANGER;7
TARRAGONA;69;H;ESTRANGER;35
MONNARS;81;D;ESPANYA;4
TARRAGONA;67;H;ESTRANGER;31
TORREFORTA;28;H;ESTRANGER;87
TORREFORTA;77;H;ESTRANGER;6
BONAVISTA;71;H;ESTRANGER;2
SANT PERE I SANT PAU;65;H;ESPANYA;84
TARRAGONA;38;D;ESTRANGER;191
BONAVISTA;54;D;ESTRANGER;7
CAMPSA;48;H;ESTRANGER;8
TARRAGONA;29;D;ESTRANGER;183
TAMARIT;74;H;ESPANYA;6
TARRAGONA;30;D;ESTRANGER;164
TAMARIT;74;D;ESPANYA;10
BONAVISTA;82;H;ESPANYA;20
CAMPSA;50;D;ESPANYA;3
MONNARS;47;H;ESPANYA;9
SANT SALVADOR;40;H;ESTRANGER;34
ARRABASSADA I SAVINOSA;74;D;ESPANYA;13
TORREFORTA;31;D;ESTRANGER;47
SANT SALVADOR;55;H;ESTRANGER;21
SANT PERE I SANT PAU;62;D;ESTRANGER;14
MONNARS;85;D;ESPANYA;3
MONTGONS (ELS);27;H;ESPANYA;10
BOSCOS DE TARRAGONA (ELS);67;H;ESPANYA;9
SANT SALVADOR;36;D;ESTRANGER;36
CAMPSA;23;D;ESTRANGER;5
SANT SALVADOR;85;H;ESPANYA;7
TORREFORTA;37;H;ESPANYA;67
BOSCOS DE TARRAGONA (ELS);43;H;ESPANYA;13
SANT PERE I SANT PAU;37;H;ESTRANGER;31
TARRAGONA;17;H;ESTRANGER;62
CAMPSA;56;D;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);60;H;ESPANYA;8
CALA ROMANA;44;H;ESPANYA;5
SANT PERE I SANT PAU;46;H;ESTRANGER;31
TAMARIT;17;D;ESPANYA;14
MONTGONS (ELS);59;H;ESTRANGER;5
SANT PERE I SANT PAU;96;H;ESPANYA;6
CAMPSA;49;D;ESPANYA;3
TORREFORTA;18;D;ESTRANGER;36
TARRAGONA;39;H;ESTRANGER;169
MONTGONS (ELS);19;D;ESPANYA;9
MONTGONS (ELS);26;D;ESTRANGER;4
TAMARIT;18;H;ESPANYA;12
ARRABASSADA I SAVINOSA;33;D;ESPANYA;15
SANT PERE I SANT PAU;57;D;ESTRANGER;16
TAMARIT;46;H;ESPANYA;16
BONAVISTA;30;D;ESTRANGER;35
TARRAGONA;15;H;ESPANYA;271
MONTGONS (ELS);15;H;ESPANYA;16
SANT PERE I SANT PAU;34;D;ESPANYA;53
MONNARS;16;H;ESPANYA;12
ARRABASSADA I SAVINOSA;81;H;ESPANYA;14
TARRAGONA;76;D;ESTRANGER;21
SANT PERE I SANT PAU;16;D;ESTRANGER;18
CAMPSA;15;H;ESPANYA;4
CAMPSA;36;D;ESPANYA;8
TAMARIT;15;H;ESPANYA;11
BOSCOS DE TARRAGONA (ELS);16;D;ESPANYA;6
SANT PERE I SANT PAU;99;D;ESPANYA;5
OLIVA (L`);16;H;ESPANYA;1
MONTGONS (ELS);71;H;ESPANYA;6
MONNARS;46;H;ESPANYA;15
BONAVISTA;36;D;ESTRANGER;31
CAMPSA;71;D;ESTRANGER;1
MONTGONS (ELS);62;H;ESTRANGER;2
SANT SALVADOR;31;D;ESTRANGER;21
MONNARS;41;H;ESPANYA;10
CALA ROMANA;49;D;ESTRANGER;1
CAMPSA;17;H;ESPANYA;10
BONAVISTA;17;D;ESTRANGER;13
CAMPSA;24;D;ESTRANGER;5
MONNARS;15;H;ESPANYA;12
MONNARS;74;D;ESPANYA;16
BONAVISTA;31;H;ESTRANGER;32
BONAVISTA;72;D;ESTRANGER;4
ARRABASSADA I SAVINOSA;13;D;ESPANYA;41
MONTGONS (ELS);13;D;ESPANYA;23
SANT SALVADOR;13;D;ESPANYA;31
TAMARIT;38;D;ESPANYA;12
SANT SALVADOR;87;H;ESPANYA;13
TORREFORTA;15;H;ESTRANGER;38
ARRABASSADA I SAVINOSA;40;D;ESPANYA;26
MONNARS;48;D;ESTRANGER;2
CALA ROMANA;14;D;ESPANYA;9
TAMARIT;42;D;ESPANYA;13
BOSCOS DE TARRAGONA (ELS);39;H;ESPANYA;10
TARRAGONA;12;H;ESPANYA;237
BOSCOS DE TARRAGONA (ELS);44;H;ESPANYA;4
MONTGONS (ELS);63;H;ESTRANGER;4
ARRABASSADA I SAVINOSA;64;H;ESTRANGER;2
SANT SALVADOR;12;H;ESPANYA;39
ARRABASSADA I SAVINOSA;75;D;ESTRANGER;1
MONTGONS (ELS);37;D;ESPANYA;7
ARRABASSADA I SAVINOSA;32;D;ESPANYA;21
MONNARS;36;H;ESPANYA;7
TORREFORTA;13;H;ESTRANGER;50
CAMPSA;13;D;ESPANYA;7
CAMPSA;13;D;ESTRANGER;6
BOSCOS DE TARRAGONA (ELS);12;D;ESPANYA;4
TARRAGONA;101;H;ESPANYA;2
CALA ROMANA;11;H;ESPANYA;4
FERRAN;53;D;ESPANYA;1
SANT PERE I SANT PAU;11;D;ESTRANGER;26
CALA ROMANA;48;H;ESPANYA;8
TORREFORTA;11;H;ESTRANGER;52
MONNARS;38;H;ESPANYA;6
CAMPSA;32;H;ESPANYA;5
BOSCOS DE TARRAGONA (ELS);38;H;ESTRANGER;1
PINEDES (LES);44;D;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);73;D;ESTRANGER;2
SANT PERE I SANT PAU;12;D;ESTRANGER;19
MONNARS;12;D;ESPANYA;14
CALA ROMANA;69;D;ESPANYA;4
CALA ROMANA;10;H;ESPANYA;4
SANT SALVADOR;10;D;ESPANYA;31
ARRABASSADA I SAVINOSA;39;H;ESPANYA;17
MONTGONS (ELS);41;D;ESTRANGER;7
MONTGONS (ELS);81;D;ESTRANGER;1
CAMPSA;84;D;ESPANYA;5
CAMPSA;11;D;ESTRANGER;6
ARRABASSADA I SAVINOSA;44;H;ESTRANGER;7
TORREFORTA;9;D;ESPANYA;100
BOSCOS DE TARRAGONA (ELS);10;H;ESPANYA;13
CALA ROMANA;47;H;ESPANYA;8
SANT SALVADOR;9;D;ESPANYA;29
TARRAGONA;9;D;ESTRANGER;88
BOSCOS DE TARRAGONA (ELS);52;H;ESPANYA;4
CAMPSA;74;D;ESPANYA;6
BONAVISTA;27;D;ESPANYA;44
SANT SALVADOR;73;D;ESPANYA;14
BONAVISTA;21;D;ESTRANGER;18
SANT PERE I SANT PAU;77;D;ESTRANGER;2
MONNARS;41;D;ESPANYA;10
TORREFORTA;8;D;ESTRANGER;30
ARRABASSADA I SAVINOSA;84;D;ESPANYA;12
BOSCOS DE TARRAGONA (ELS);8;H;ESPANYA;8
MONTGONS (ELS);8;D;ESPANYA;13
CALA ROMANA;11;H;ESTRANGER;1
BONAVISTA;8;D;ESPANYA;39
TARRAGONA;8;H;ESTRANGER;70
CALA ROMANA;76;D;ESPANYA;8
MONTGONS (ELS);38;H;ESTRANGER;4
MONNARS;38;D;ESPANYA;4
OLIVA (L`);8;D;ESPANYA;1
SANT PERE I SANT PAU;7;H;ESTRANGER;12
CAMPSA;69;H;ESPANYA;3
SANT SALVADOR;7;H;ESPANYA;32
MONTGONS (ELS);7;H;ESPANYA;16
ARRABASSADA I SAVINOSA;7;H;ESPANYA;15
SANT PERE I SANT PAU;7;H;ESPANYA;53
CALA ROMANA;9;D;ESPANYA;4
BOSCOS DE TARRAGONA (ELS);74;H;ESPANYA;8
ARRABASSADA I SAVINOSA;87;D;ESPANYA;5
CAMPSA;67;D;ESPANYA;9
BOSCOS DE TARRAGONA (ELS);97;D;ESPANYA;1
MONTGONS (ELS);8;D;ESTRANGER;6
TAMARIT;36;H;ESTRANGER;3
SANT PERE I SANT PAU;10;D;ESTRANGER;20
BONAVISTA;8;D;ESTRANGER;20
BONAVISTA;6;D;ESPANYA;49
ARRABASSADA I SAVINOSA;6;H;ESPANYA;27
ARRABASSADA I SAVINOSA;7;D;ESPANYA;28
ARRABASSADA I SAVINOSA;66;D;ESPANYA;19
TORREFORTA;6;D;ESTRANGER;28
SANT SALVADOR;7;D;ESTRANGER;13
ARRABASSADA I SAVINOSA;74;H;ESPANYA;10
BOSCOS DE TARRAGONA (ELS);54;H;ESPANYA;6
MONNARS;7;D;ESTRANGER;2
TARRAGONA;5;D;ESPANYA;165
TAMARIT;48;D;ESTRANGER;1
MONTGONS (ELS);6;H;ESPANYA;11
BONAVISTA;97;D;ESTRANGER;1
CAMPSA;48;D;ESPANYA;2
MONNARS;6;D;ESPANYA;12
SANT PERE I SANT PAU;8;H;ESTRANGER;14
MONTGONS (ELS);5;H;ESPANYA;6
CAMPSA;42;D;ESPANYA;5
SANT PERE I SANT PAU;29;D;ESPANYA;47
CAMPSA;33;D;ESTRANGER;3
BONAVISTA;5;D;ESTRANGER;16
MONNARS;43;H;ESPANYA;16
CALA ROMANA;5;D;ESPANYA;4
TAMARIT;62;D;ESTRANGER;2
SANT PERE I SANT PAU;5;H;ESTRANGER;11
TAMARIT;35;D;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);5;H;ESPANYA;10
CAMPSA;6;H;ESPANYA;10
BONAVISTA;3;H;ESPANYA;35
FERRAN;72;H;ESPANYA;2
ARRABASSADA I SAVINOSA;28;D;ESTRANGER;9
BONAVISTA;4;H;ESPANYA;39
MONTGONS (ELS);4;H;ESPANYA;12
TAMARIT;32;H;ESTRANGER;2
TAMARIT;72;H;ESPANYA;9
BONAVISTA;19;H;ESTRANGER;16
OLIVA (L`);3;H;ESPANYA;1
SANT SALVADOR;17;D;ESTRANGER;14
TAMARIT;3;D;ESPANYA;6
CAMPSA;20;D;ESTRANGER;5
TAMARIT;4;H;ESPANYA;6
CALA ROMANA;55;D;ESPANYA;2
TAMARIT;78;H;ESTRANGER;3
MONNARS;4;D;ESPANYA;6
TAMARIT;38;D;ESTRANGER;4
PINEDES (LES);24;D;ESPANYA;1
TAMARIT;71;D;ESTRANGER;2
ARRABASSADA I SAVINOSA;39;H;ESTRANGER;5
CAMPSA;78;D;ESPANYA;6
MONTGONS (ELS);62;H;ESPANYA;9
CALA ROMANA;28;D;ESPANYA;4
TARRAGONA;112;D;ESPANYA;1
FERRAN;66;D;ESPANYA;5
BOSCOS DE TARRAGONA (ELS);92;D;ESPANYA;1
TARRAGONA;107;D;ESPANYA;2
CALA ROMANA;67;H;ESPANYA;7
CALA ROMANA;65;H;ESPANYA;5
CALA ROMANA;41;H;ESPANYA;3
BOSCOS DE TARRAGONA (ELS);91;H;ESPANYA;1
CAMPSA;76;D;ESPANYA;10
MONTGONS (ELS);95;D;ESPANYA;2
MONTGONS (ELS);86;D;ESPANYA;4
MONTGONS (ELS);83;H;ESPANYA;2
CAMPSA;90;D;ESPANYA;2
MONTGONS (ELS);93;D;ESPANYA;1
MONTGONS (ELS);79;D;ESPANYA;4
MONNARS;97;D;ESPANYA;1
CAMPSA;35;D;ESPANYA;4
TAMARIT;92;D;ESPANYA;1
SANT PERE I SANT PAU;95;D;ESPANYA;7
OLIVA (L`);61;D;ESPANYA;1
OLIVA (L`);58;H;ESPANYA;3
SANT SALVADOR;87;D;ESPANYA;6
SANT SALVADOR;96;H;ESPANYA;1
SANT PERE I SANT PAU;106;D;ESPANYA;2
CALA ROMANA;85;D;ESPANYA;2
ARRABASSADA I SAVINOSA;66;H;ESTRANGER;3
OLIVA (L`);60;H;ESPANYA;2
OLIVA (L`);64;D;ESPANYA;1
OLIVA (L`);38;D;ESPANYA;1
SANT PERE I SANT PAU;104;H;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);31;D;ESPANYA;3
BOSCOS DE TARRAGONA (ELS);89;D;ESPANYA;1
BOSCOS DE TARRAGONA (ELS);80;D;ESPANYA;3
MONNARS;96;H;ESPANYA;1
TORREFORTA;92;H;ESPANYA;8
FERRAN;82;D;ESPANYA;2
FERRAN;60;H;ESPANYA;1
FERRAN;60;D;ESPANYA;1
CALA ROMANA;91;D;ESPANYA;1
BONAVISTA;92;D;ESPANYA;6
FERRAN;46;H;ESPANYA;1
ARRABASSADA I SAVINOSA;95;H;ESPANYA;1
BONAVISTA;18;D;ESTRANGER;14
MONNARS;2;H;ESPANYA;10
BOSCOS DE TARRAGONA (ELS);3;D;ESPANYA;4
PINEDES (LES);47;H;ESTRANGER;1
TORREFORTA;2;D;ESPANYA;66
CAMPSA;19;H;ESTRANGER;12
ARRABASSADA I SAVINOSA;22;H;ESTRANGER;4
SANT SALVADOR;2;D;ESPANYA;16
CALA ROMANA;42;D;ESTRANGER;5
BOSCOS DE TARRAGONA (ELS);68;H;ESTRANGER;3
SANT PERE I SANT PAU;20;H;ESTRANGER;16
ARRABASSADA I SAVINOSA;23;D;ESTRANGER;4
MONNARS;19;D;ESPANYA;14
ARRABASSADA I SAVINOSA;19;H;ESPANYA;20
OLIVA (L`);26;D;ESPANYA;1
ARRABASSADA I SAVINOSA;25;H;ESTRANGER;5
SANT SALVADOR;2;H;ESTRANGER;18
MONNARS;75;H;ESTRANGER;1
FERRAN;35;D;ESPANYA;1
FERRAN;29;D;ESPANYA;1
SANT PERE I SANT PAU;20;D;ESTRANGER;13
SANT PERE I SANT PAU;8;D;ESTRANGER;19
MONTGONS (ELS);70;D;ESTRANGER;2
TAMARIT;27;H;ESTRANGER;2
CALA ROMANA;46;H;ESTRANGER;1
ARRABASSADA I SAVINOSA;41;H;ESTRANGER;5
CALA ROMANA;2;D;ESPANYA;5
MONNARS;58;H;ESTRANGER;2
TAMARIT;72;D;ESTRANGER;1
ARRABASSADA I SAVINOSA;60;H;ESTRANGER;2
CAMPSA;2;D;ESPANYA;5
OLIVA (L`);14;H;ESTRANGER;1
MONNARS;28;D;ESTRANGER;1
MONNARS;18;D;ESPANYA;8
SANT PERE I SANT PAU;11;H;ESTRANGER;7
SANT SALVADOR;2;D;ESTRANGER;18
MONTGONS (ELS);2;D;ESTRANGER;4
MONTGONS (ELS);40;D;ESTRANGER;3
CALA ROMANA;12;H;ESTRANGER;3
TARRAGONA;1;H;ESTRANGER;49
OLIVA (L`);86;D;ESPANYA;1
CAMPSA;24;H;ESTRANGER;4
CAMPSA;19;D;ESTRANGER;9
CAMPSA;37;H;ESTRANGER;7
ARRABASSADA I SAVINOSA;1;D;ESPANYA;18
PINEDES (LES);78;D;ESPANYA;1
SANT PERE I SANT PAU;1;H;ESPANYA;41
SANT SALVADOR;1;H;ESPANYA;24
CALA ROMANA;54;D;ESTRANGER;1
TARRAGONA;90;D;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);42;D;ESTRANGER;1
OLIVA (L`);35;D;ESPANYA;1
MONTGONS (ELS);1;D;ESPANYA;4
CAMPSA;10;D;ESTRANGER;4
TAMARIT;11;D;ESTRANGER;2
SANT PERE I SANT PAU;85;D;ESTRANGER;2
TAMARIT;25;D;ESTRANGER;2
BONAVISTA;79;D;ESTRANGER;2
OLIVA (L`);35;H;ESPANYA;1
ARRABASSADA I SAVINOSA;62;D;ESTRANGER;2
TAMARIT;17;H;ESTRANGER;1
MONTGONS (ELS);94;D;ESTRANGER;1
TAMARIT;52;D;ESTRANGER;6
PINEDES (LES);18;H;ESPANYA;1
ARRABASSADA I SAVINOSA;32;H;ESTRANGER;3
CALA ROMANA;51;D;ESTRANGER;1
SANT SALVADOR;0;D;ESTRANGER;14
SANT SALVADOR;0;H;ESPANYA;25
BOSCOS DE TARRAGONA (ELS);46;H;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);48;D;ESTRANGER;1
TORREFORTA;0;D;ESTRANGER;28
BOSCOS DE TARRAGONA (ELS);68;D;ESTRANGER;2
MONTGONS (ELS);25;H;ESTRANGER;2
TAMARIT;30;H;ESTRANGER;3
MONNARS;0;H;ESPANYA;4
BONAVISTA;0;H;ESPANYA;24
CALA ROMANA;29;H;ESPANYA;1
SANT SALVADOR;79;H;ESTRANGER;1
FERRAN;28;D;ESPANYA;2
MONNARS;50;D;ESTRANGER;1
CAMPSA;9;D;ESTRANGER;2
TAMARIT;39;D;ESTRANGER;1
MONTGONS (ELS);60;D;ESTRANGER;1
TAMARIT;12;H;ESTRANGER;2
TAMARIT;19;D;ESTRANGER;1
CALA ROMANA;91;H;ESPANYA;1
MONTGONS (ELS);37;D;ESTRANGER;3
BOSCOS DE TARRAGONA (ELS);24;D;ESTRANGER;2
MONNARS;69;H;ESTRANGER;1
OLIVA (L`);0;H;ESPANYA;1
CAMPSA;65;H;ESTRANGER;1
PINEDES (LES);21;D;ESPANYA;1
PINEDES (LES);42;H;ESTRANGER;1
PINEDES (LES);52;H;ESTRANGER;1
PINEDES (LES);11;H;ESTRANGER;1
CAMPSA;0;H;ESPANYA;2
TAMARIT;23;D;ESTRANGER;1
CANONJA (LA);41;H;ESTRANGER;1
CANONJA (LA);24;H;ESTRANGER;1
CALA ROMANA;6;D;ESTRANGER;1
BOSCOS DE TARRAGONA (ELS);12;H;ESTRANGER;1
TARRAGONA;100;H;ESPANYA;4
TARRAGONA;62;H;ESPANYA;324
SANT PERE I SANT PAU;69;D;ESPANYA;78
TARRAGONA;50;D;ESPANYA;457
TARRAGONA;67;H;ESPANYA;332
TARRAGONA;30;D;ESPANYA;315
CAMPSA;51;D;ESPANYA;8
TARRAGONA;72;H;ESPANYA;322
SANT PERE I SANT PAU;87;D;ESPANYA;33
TARRAGONA;56;H;ESPANYA;384
SANT PERE I SANT PAU;51;D;ESPANYA;130
TARRAGONA;79;D;ESPANYA;360
SANT PERE I SANT PAU;63;D;ESPANYA;103
TORREFORTA;83;D;ESPANYA;44
SANT SALVADOR;49;D;ESPANYA;49
TORREFORTA;63;D;ESPANYA;118
ARRABASSADA I SAVINOSA;47;D;ESPANYA;52
BONAVISTA;24;D;ESPANYA;52
SANT PERE I SANT PAU;36;D;ESPANYA;72
TARRAGONA;42;H;ESPANYA;322
TORREFORTA;51;H;ESTRANGER;48
TORREFORTA;24;D;ESPANYA;113
TARRAGONA;56;D;ESPANYA;407
TARRAGONA;68;H;ESPANYA;316
TORREFORTA;32;D;ESPANYA;69
TORREFORTA;45;D;ESPANYA;98
BONAVISTA;49;D;ESPANYA;51
TORREFORTA;57;H;ESPANYA;145
MONNARS;55;D;ESPANYA;13
TARRAGONA;61;H;ESTRANGER;41
SANT PERE I SANT PAU;41;H;ESPANYA;83
MONTGONS (ELS);45;D;ESPANYA;16
SANT SALVADOR;51;H;ESPANYA;51
TORREFORTA;85;H;ESPANYA;14
MONTGONS (ELS);43;D;ESPANYA;13
TARRAGONA;35;D;ESPANYA;254
TARRAGONA;80;H;ESPANYA;201
SANT PERE I SANT PAU;25;H;ESPANYA;73
SANT PERE I SANT PAU;89;D;ESPANYA;25
SANT PERE I SANT PAU;55;D;ESPANYA;116
BONAVISTA;56;H;ESPANYA;59
TORREFORTA;40;D;ESPANYA;79
SANT PERE I SANT PAU;25;D;ESPANYA;65
BONAVISTA;55;D;ESPANYA;45
BONAVISTA;64;H;ESPANYA;55
SANT SALVADOR;49;H;ESPANYA;53
TARRAGONA;51;D;ESTRANGER;110
TAMARIT;50;H;ESPANYA;16
TORREFORTA;48;D;ESTRANGER;59
TORREFORTA;23;D;ESPANYA;100
TORREFORTA;67;H;ESTRANGER;25
SANT PERE I SANT PAU;55;H;ESTRANGER;15
SANT PERE I SANT PAU;57;D;ESPANYA;107
ARRABASSADA I SAVINOSA;58;H;ESPANYA;27
MONNARS;27;D;ESPANYA;6
TARRAGONA;92;H;ESPANYA;53
TORREFORTA;63;H;ESTRANGER;18
TORREFORTA;56;H;ESTRANGER;45
TORREFORTA;67;H;ESPANYA;109
SANT SALVADOR;61;H;ESTRANGER;11
TORREFORTA;40;D;ESTRANGER;66
BONAVISTA;58;D;ESPANYA;50
ARRABASSADA I SAVINOSA;52;D;ESPANYA;48
BONAVISTA;84;H;ESPANYA;22
BONAVISTA;81;D;ESPANYA;31
SANT SALVADOR;48;H;ESPANYA;45
SANT SALVADOR;53;D;ESPANYA;36
BONAVISTA;31;D;ESPANYA;34
BONAVISTA;80;D;ESPANYA;27
MONNARS;59;H;ESTRANGER;2
MONTGONS (ELS);52;H;ESPANYA;20
MONTGONS (ELS);23;D;ESPANYA;12
MONTGONS (ELS);53;D;ESPANYA;17
BONAVISTA;65;H;ESPANYA;43
BOSCOS DE TARRAGONA (ELS);60;D;ESPANYA;17
BONAVISTA;66;D;ESPANYA;45
TARRAGONA;44;D;ESTRANGER;135
TARRAGONA;96;H;ESPANYA;21
SANT PERE I SANT PAU;60;H;ESPANYA;84
CAMPSA;44;D;ESPANYA;6
BONAVISTA;61;H;ESPANYA;48
TARRAGONA;32;D;ESPANYA;286
SANT SALVADOR;52;H;ESPANYA;50
SANT PERE I SANT PAU;49;D;ESTRANGER;31
TARRAGONA;38;D;ESPANYA;297
SANT PERE I SANT PAU;71;D;ESTRANGER;4
SANT SALVADOR;70;D;ESTRANGER;5
TORREFORTA;58;D;ESTRANGER;34
ARRABASSADA I SAVINOSA;29;D;ESTRANGER;4
TORREFORTA;35;D;ESPANYA;64
SANT SALVADOR;78;D;ESPANYA;23
FERRAN;55;D;ESPANYA;2
CAMPSA;25;H;ESPANYA;7
SANT PERE I SANT PAU;29;D;ESTRANGER;26
TORREFORTA;72;H;ESPANYA;89
TAMARIT;71;H;ESPANYA;7
TARRAGONA;30;H;ESTRANGER;217
MONTGONS (ELS);32;H;ESPANYA;11
TORREFORTA;65;D;ESPANYA;128
TARRAGONA;75;H;ESPANYA;271
BONAVISTA;65;D;ESPANYA;47
BONAVISTA;49;H;ESTRANGER;31
MONNARS;56;D;ESPANYA;12
BOSCOS DE TARRAGONA (ELS);57;H;ESPANYA;8
BONAVISTA;64;D;ESPANYA;40
TORREFORTA;81;D;ESPANYA;72
BOSCOS DE TARRAGONA (ELS);45;D;ESPANYA;12
SANT PERE I SANT PAU;52;D;ESTRANGER;28
TAMARIT;65;H;ESPANYA;15
MONNARS;59;D;ESPANYA;17
TARRAGONA;21;D;ESPANYA;327
TARRAGONA;21;H;ESTRANGER;116
BONAVISTA;21;H;ESPANYA;43
TARRAGONA;63;D;ESTRANGER;65
BONAVISTA;39;D;ESPANYA;38
ARRABASSADA I SAVINOSA;83;H;ESPANYA;6
SANT PERE I SANT PAU;87;H;ESPANYA;19
BONAVISTA;69;H;ESTRANGER;9
BONAVISTA;57;D;ESTRANGER;18
BOSCOS DE TARRAGONA (ELS);53;H;ESTRANGER;2
BOSCOS DE TARRAGONA (ELS);50;D;ESTRANGER;3
CALA ROMANA;60;H;ESTRANGER;2
MONTGONS (ELS);58;D;ESPANYA;15
TAMARIT;28;D;ESPANYA;2
SANT PERE I SANT PAU;77;D;ESPANYA;74
SANT SALVADOR;54;D;ESTRANGER;13
TARRAGONA;69;D;ESTRANGER;32
SANT SALVADOR;88;H;ESPANYA;6
SANT PERE I SANT PAU;54;H;ESTRANGER;22
TARRAGONA;54;H;ESTRANGER;91
TORREFORTA;49;D;ESTRANGER;64
TAMARIT;94;D;ESPANYA;1
ARRABASSADA I SAVINOSA;22;H;ESPANYA;19
SANT PERE I SANT PAU;39;H;ESTRANGER;33
BONAVISTA;51;H;ESTRANGER;26
TORREFORTA;44;H;ESTRANGER;74
TORREFORTA;45;H;ESTRANGER;86
SANT SALVADOR;74;H;ESPANYA;14
OLIVA (L`);62;H;ESPANYA;2
FERRAN;69;D;ESTRANGER;1
TORREFORTA;72;H;ESTRANGER;7
SANT SALVADOR;20;D;ESTRANGER;8
SANT PERE I SANT PAU;20;H;ESPANYA;111
ARRABASSADA I SAVINOSA;68;H;ESPANYA;15
BONAVISTA;71;D;ESTRANGER;6
CALA ROMANA;21;H;ESPANYA;5
TARRAGONA;36;D;ESTRANGER;166
TARRAGONA;33;H;ESTRANGER;185
ARRABASSADA I SAVINOSA;20;H;ESPANYA;33
SANT SALVADOR;39;H;ESTRANGER;23
MONTGONS (ELS);35;D;ESTRANGER;12
SANT PERE I SANT PAU;88;D;ESPANYA;29
SANT SALVADOR;28;H;ESTRANGER;32
SANT SALVADOR;27;H;ESTRANGER;29
MONTGONS (ELS);43;D;ESTRANGER;10
TORREFORTA;90;H;ESPANYA;18
MONTGONS (ELS);46;H;ESPANYA;19
ARRABASSADA I SAVINOSA;79;D;ESPANYA;10
TARRAGONA;71;D;ESTRANGER;39
TAMARIT;27;D;ESPANYA;11
TORREFORTA;42;H;ESTRANGER;99
BONAVISTA;37;H;ESTRANGER;29
TORREFORTA;32;D;ESTRANGER;42
CALA ROMANA;44;D;ESPANYA;3
TAMARIT;73;H;ESPANYA;13
SANT PERE I SANT PAU;56;H;ESTRANGER;19
TAMARIT;45;H;ESPANYA;17
TAMARIT;78;D;ESPANYA;5
TAMARIT;30;H;ESPANYA;3
MONTGONS (ELS);74;D;ESTRANGER;1
TAMARIT;61;H;ESPANYA;15
BOSCOS DE TARRAGONA (ELS);49;D;ESPANYA;9
SANT SALVADOR;33;H;ESPANYA;25
MONNARS;85;H;ESPANYA;2
CALA ROMANA;40;H;ESPANYA;1
MONTGONS (ELS);23;H;ESTRANGER;4
ARRABASSADA I SAVINOSA;44;H;ESPANYA;40
TORREFORTA;19;H;ESPANYA;145
MONTGONS (ELS);74;D;ESPANYA;9
BONAVISTA;46;H;ESTRANGER;35
BONAVISTA;77;H;ESPANYA;27
CALA ROMANA;71;H;ESPANYA;6
BONAVISTA;58;H;ESTRANGER;10
BONAVISTA;98;D;ESPANYA;2
TORREFORTA;63;D;ESTRANGER;20
TAMARIT;48;D;ESPANYA;23
TORREFORTA;87;D;ESPANYA;34
SANT SALVADOR;46;D;ESTRANGER;16
MONTGONS (ELS);47;H;ESTRANGER;9
ARRABASSADA I SAVINOSA;92;D;ESPANYA;3
