comunitatsAut;provincia;municipi;tipus;periode;total;año;mes
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2021M08;480;2021;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2021M02;415;2021;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas;2020M08;427;2020;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2024M11;6,15;2024;11
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2024M08;6,1;2024;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2024M02;6,03;2024;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2023M08;6,11;2023;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2023M02;6,2;2023;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2022M08;6,29;2022;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2022M02;6,31;2022;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2021M08;6,23;2021;08
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2021M02;6,1;2021;02
09 Cataluña;43 Tarragona;43902 Sant Jaume d'Enveja;Plazas por vivienda turística;2020M08;6,01;2020;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2024M11;12;2024;11
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2024M08;11;2024;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2024M02;8;2024;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2023M08;13;2023;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2023M02;12;2023;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2022M08;9;2022;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2022M02;9;2022;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2021M08;8;2021;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2021M02;11;2021;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Viviendas turísticas;2020M08;13;2020;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2024M11;85;2024;11
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2024M08;78;2024;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2024M02;52;2024;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2023M08;101;2023;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2023M02;90;2023;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2022M08;68;2022;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2022M02;68;2022;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2021M08;72;2021;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2021M02;88;2021;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas;2020M08;104;2020;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2024M11;7,08;2024;11
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2024M08;7,09;2024;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2024M02;6,5;2024;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2023M08;7,77;2023;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2023M02;7,5;2023;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2022M08;7,56;2022;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2022M02;7,56;2022;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2021M08;9;2021;08
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2021M02;8;2021;02
09 Cataluña;43 Tarragona;43137 Sant Jaume dels Domenys;Plazas por vivienda turística;2020M08;8;2020;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2024M11;10;2024;11
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2024M08;11;2024;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2024M02;7;2024;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2023M08;4;2023;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2023M02;3;2023;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2022M08;4;2022;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2022M02;11;2022;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2021M08;13;2021;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2021M02;15;2021;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Viviendas turísticas;2020M08;15;2020;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2024M11;51;2024;11
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2024M08;53;2024;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2024M02;33;2024;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2023M08;18;2023;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2023M02;12;2023;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2022M08;19;2022;08
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2022M02;33;2022;02
09 Cataluña;43 Tarragona;43138 Santa Bàrbara;Plazas;2021M08;46;2021;08
