comunitatsAut;provincia;municipi;tipus;periode;total;año;mes
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Viviendas turísticas;2022M08;13;2022;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Viviendas turísticas;2022M02;6;2022;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Viviendas turísticas;2021M08;8;2021;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Viviendas turísticas;2021M02;7;2021;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Viviendas turísticas;2020M08;9;2020;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2024M11;12;2024;11
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2024M08;12;2024;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2024M02;12;2024;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2023M08;46;2023;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2023M02;36;2023;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2022M08;57;2022;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2022M02;44;2022;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2021M08;63;2021;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2021M02;70;2021;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas;2020M08;82;2020;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2024M11;4;2024;11
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2024M08;4;2024;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2024M02;4;2024;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2023M08;5,75;2023;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2023M02;7,2;2023;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2022M08;4,38;2022;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2022M02;7,33;2022;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2021M08;7,88;2021;08
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2021M02;10;2021;02
09 Cataluña;43 Tarragona;43031 Borges del Camp, Les;Plazas por vivienda turística;2020M08;9,11;2020;08
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2024M11;9;2024;11
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2024M08;11;2024;08
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2024M02;10;2024;02
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2023M08;9;2023;08
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2023M02;7;2023;02
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2022M08;7;2022;08
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2022M02;5;2022;02
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2021M08;6;2021;08
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2021M02;5;2021;02
09 Cataluña;43 Tarragona;43032 Bot;Viviendas turísticas;2020M08;5;2020;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2024M11;62;2024;11
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2024M08;70;2024;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2024M02;64;2024;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2023M08;59;2023;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2023M02;45;2023;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2022M08;43;2022;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2022M02;31;2022;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2021M08;44;2021;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2021M02;40;2021;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas;2020M08;31;2020;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2024M11;6,89;2024;11
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2024M08;6,36;2024;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2024M02;6,4;2024;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2023M08;6,56;2023;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2023M02;6,43;2023;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2022M08;6,14;2022;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2022M02;6,2;2022;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2021M08;7,33;2021;08
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2021M02;8;2021;02
09 Cataluña;43 Tarragona;43032 Bot;Plazas por vivienda turística;2020M08;6,2;2020;08
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2024M11;3;2024;11
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2024M08;6;2024;08
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2024M02;3;2024;02
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2023M08;5;2023;08
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2023M02;4;2023;02
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2022M08;6;2022;08
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2022M02;6;2022;02
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2021M08;7;2021;08
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2021M02;5;2021;02
09 Cataluña;43 Tarragona;43033 Botarell;Viviendas turísticas;2020M08;8;2020;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2024M11;15;2024;11
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2024M08;36;2024;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2024M02;22;2024;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2023M08;32;2023;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2023M02;26;2023;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2022M08;39;2022;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2022M02;43;2022;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2021M08;47;2021;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2021M02;43;2021;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas;2020M08;55;2020;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2024M11;5;2024;11
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2024M08;6;2024;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2024M02;7,33;2024;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2023M08;6,4;2023;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2023M02;6,5;2023;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2022M08;6,5;2022;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2022M02;7,17;2022;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2021M08;6,71;2021;08
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2021M02;8,6;2021;02
09 Cataluña;43 Tarragona;43033 Botarell;Plazas por vivienda turística;2020M08;6,88;2020;08
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2024M11;0;2024;11
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2024M08;0;2024;08
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2024M02;0;2024;02
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2023M08;1;2023;08
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2023M02;0;2023;02
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2022M08;0;2022;08
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2022M02;0;2022;02
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2021M08;0;2021;08
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2021M02;0;2021;02
09 Cataluña;43 Tarragona;43034 Bràfim;Viviendas turísticas;2020M08;0;2020;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2024M11;0;2024;11
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2024M08;0;2024;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2024M02;0;2024;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2023M08;4;2023;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2023M02;0;2023;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2022M08;0;2022;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2022M02;0;2022;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2021M08;0;2021;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2021M02;0;2021;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas;2020M08;0;2020;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2024M11;..;2024;11
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2024M08;..;2024;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2024M02;..;2024;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2023M08;4;2023;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2023M02;;2023;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2022M08;;2022;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2022M02;;2022;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2021M08;;2021;08
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2021M02;;2021;02
09 Cataluña;43 Tarragona;43034 Bràfim;Plazas por vivienda turística;2020M08;;2020;08
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2024M11;4;2024;11
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2024M08;4;2024;08
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2024M02;3;2024;02
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2023M08;4;2023;08
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2023M02;4;2023;02
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2022M08;5;2022;08
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2022M02;4;2022;02
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2021M08;3;2021;08
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2021M02;2;2021;02
09 Cataluña;43 Tarragona;43035 Cabacés;Viviendas turísticas;2020M08;2;2020;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2024M11;31;2024;11
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2024M08;31;2024;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2024M02;24;2024;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2023M08;31;2023;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2023M02;31;2023;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2022M08;35;2022;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2022M02;31;2022;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2021M08;26;2021;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2021M02;19;2021;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas;2020M08;19;2020;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2024M11;7,75;2024;11
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2024M08;7,75;2024;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2024M02;8;2024;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2023M08;7,75;2023;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2023M02;7,75;2023;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2022M08;7;2022;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2022M02;7,75;2022;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2021M08;8,67;2021;08
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2021M02;9,5;2021;02
09 Cataluña;43 Tarragona;43035 Cabacés;Plazas por vivienda turística;2020M08;9,5;2020;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2024M11;5;2024;11
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2024M08;5;2024;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2024M02;4;2024;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2023M08;3;2023;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2023M02;2;2023;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2022M08;0;2022;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2022M02;2;2022;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2021M08;2;2021;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2021M02;3;2021;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Viviendas turísticas;2020M08;2;2020;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2024M11;40;2024;11
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2024M08;40;2024;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2024M02;24;2024;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2023M08;18;2023;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2023M02;16;2023;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2022M08;0;2022;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2022M02;13;2022;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2021M08;12;2021;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2021M02;22;2021;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas;2020M08;20;2020;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2024M11;8;2024;11
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2024M08;8;2024;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2024M02;6;2024;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2023M08;6;2023;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2023M02;8;2023;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2022M08;;2022;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2022M02;6,5;2022;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2021M08;6;2021;08
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2021M02;7,33;2021;02
09 Cataluña;43 Tarragona;43036 Cabra del Camp;Plazas por vivienda turística;2020M08;10;2020;08
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2024M11;537;2024;11
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2024M08;634;2024;08
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2024M02;584;2024;02
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2023M08;608;2023;08
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2023M02;463;2023;02
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2022M08;531;2022;08
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2022M02;459;2022;02
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2021M08;566;2021;08
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2021M02;528;2021;02
09 Cataluña;43 Tarragona;43037 Calafell;Viviendas turísticas;2020M08;639;2020;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2024M11;3.112;2024;11
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2024M08;3.635;2024;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2024M02;3.299;2024;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2023M08;3.479;2023;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2023M02;2.633;2023;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2022M08;3.070;2022;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2022M02;2.680;2022;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2021M08;3.446;2021;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2021M02;3.195;2021;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas;2020M08;3.861;2020;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2024M11;5,8;2024;11
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2024M08;5,73;2024;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2024M02;5,65;2024;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2023M08;5,72;2023;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2023M02;5,69;2023;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2022M08;5,78;2022;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2022M02;5,84;2022;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2021M08;6,09;2021;08
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2021M02;6,05;2021;02
09 Cataluña;43 Tarragona;43037 Calafell;Plazas por vivienda turística;2020M08;6,04;2020;08
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2024M11;58;2024;11
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2024M08;63;2024;08
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2024M02;59;2024;02
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2023M08;63;2023;08
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2023M02;51;2023;02
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2022M08;52;2022;08
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2022M02;32;2022;02
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2021M08;32;2021;08
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2021M02;31;2021;02
09 Cataluña;43 Tarragona;43903 Camarles;Viviendas turísticas;2020M08;36;2020;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2024M11;389;2024;11
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2024M08;439;2024;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2024M02;421;2024;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2023M08;447;2023;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2023M02;348;2023;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2022M08;348;2022;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2022M02;216;2022;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2021M08;203;2021;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2021M02;218;2021;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas;2020M08;238;2020;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2024M11;6,71;2024;11
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2024M08;6,97;2024;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2024M02;7,14;2024;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2023M08;7,1;2023;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2023M02;6,82;2023;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2022M08;6,69;2022;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2022M02;6,75;2022;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2021M08;6,34;2021;08
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2021M02;7,03;2021;02
09 Cataluña;43 Tarragona;43903 Camarles;Plazas por vivienda turística;2020M08;6,61;2020;08
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2024M11;1.196;2024;11
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2024M08;1.440;2024;08
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2024M02;1.352;2024;02
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2023M08;1.431;2023;08
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2023M02;1.116;2023;02
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2022M08;1.338;2022;08
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2022M02;1.155;2022;02
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2021M08;1.336;2021;08
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2021M02;1.191;2021;02
09 Cataluña;43 Tarragona;43038 Cambrils;Viviendas turísticas;2020M08;1.484;2020;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2024M11;6.924;2024;11
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2024M08;8.233;2024;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2024M02;7.657;2024;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2023M08;8.198;2023;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2023M02;6.449;2023;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2022M08;7.694;2022;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2022M02;6.733;2022;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2021M08;7.711;2021;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2021M02;6.889;2021;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas;2020M08;8.507;2020;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2024M11;5,79;2024;11
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2024M08;5,72;2024;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2024M02;5,66;2024;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2023M08;5,73;2023;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2023M02;5,78;2023;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2022M08;5,75;2022;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2022M02;5,83;2022;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2021M08;5,77;2021;08
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2021M02;5,78;2021;02
09 Cataluña;43 Tarragona;43038 Cambrils;Plazas por vivienda turística;2020M08;5,73;2020;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2024M11;0;2024;11
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2024M08;0;2024;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2024M02;0;2024;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2023M08;3;2023;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2023M02;2;2023;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2022M08;3;2022;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2022M02;1;2022;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2021M08;3;2021;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2021M02;3;2021;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Viviendas turísticas;2020M08;2;2020;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2024M11;0;2024;11
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2024M08;0;2024;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2024M02;0;2024;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2023M08;10;2023;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2023M02;4;2023;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2022M08;6;2022;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2022M02;2;2022;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2021M08;9;2021;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2021M02;4;2021;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas;2020M08;3;2020;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2024M11;..;2024;11
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2024M08;..;2024;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2024M02;..;2024;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2023M08;3,33;2023;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2023M02;2;2023;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2022M08;2;2022;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2022M02;2;2022;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2021M08;3;2021;08
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2021M02;1,33;2021;02
09 Cataluña;43 Tarragona;43907 Canonja, La;Plazas por vivienda turística;2020M08;1,5;2020;08
09 Cataluña;43 Tarragona;43039 Capafonts;Viviendas turísticas;2024M11;5;2024;11
09 Cataluña;43 Tarragona;43039 Capafonts;Viviendas turísticas;2024M08;5;2024;08
