latitu;long;tipus;places
41.124858689525;1.2555478828338;Bicis/Patinets;20
41.122227097886;1.1953675792679;Bicis/Patinets;20
41.123692739081;1.2387095286924;Bicis/Patinets;8
41.115203469107;1.2066239658373;Bicis/Patinets;10
41.120794533717;1.2527120499993;Bicis/Patinets;12
41.1126786;1.2548093;Bicis/Patinets;12
41.117118432166;1.2253781739146;Bicis/Patinets;20
41.120698946886;1.2484413953202;Bicis/Patinets;8
41.111521122399;1.2413833659031;Bicis/Patinets;20
41.125456961919;1.2480040726418;Bicis/Patinets;8
41.1190981;1.2586204;Bicis/Patinets;10
41.130359672136;1.2016770706485;Bicis/Patinets;20
41.115215034486;1.2050049682582;Bicis/Patinets;10
41.124436269241;1.1989187641762;Bicis/Patinets;4
41.126542242127;1.2335785370454;Bicis/Patinets;8
41.127463536918;1.2344199693115;Bicis/Patinets;8
41.11554341664;1.2084128482256;Bicis/Patinets;22
41.115795362368;1.2378473037272;Bicis/Patinets;20
41.119524359705;1.2611131650076;Bicis/Patinets;20
41.128355280566;1.3460158616862;Bicis/Patinets;20
41.117017484702;1.2393894634279;Bicis/Patinets;14
41.11578756878;1.2523762537275;Motocicletes;10
41.116299555871;1.2515219880141;Motocicletes;10
41.117206757515;1.2495989786561;Motocicletes;10
41.115990592312;1.2513878897444;Motocicletes;10
41.115137306446;1.253126461191;Motocicletes;10
41.11468629586;1.2540749538656;Motocicletes;10
41.114112966837;1.2552945616147;Motocicletes;10
41.116773179668;1.2544431348483;Motocicletes;10
41.116084267515;1.2554754198938;Motocicletes;15
41.115717546833;1.2588683710455;Motocicletes;4
41.1219727;1.209478;Càrrega/descàrrega;4
41.1190981;1.2586204;Exclusives Discapacitats;2
41.116741046015;1.2172501405449;Càrrega/descàrrega;3
41.11606095125;1.2163206433777;Càrrega/descàrrega;3
41.1166522;1.2496794;Càrrega/descàrrega;8
41.1146655;1.2552045;Càrrega/descàrrega;2
41.1150567;1.2542338;Càrrega/descàrrega;2
41.115474210677;1.2532326760574;Càrrega/descàrrega;3
41.1160707;1.252343;Càrrega/descàrrega;1
41.1149619;1.25325;Càrrega/descàrrega;3
41.1144528;1.2544407;Càrrega/descàrrega;2
41.1136746;1.2559187;Càrrega/descàrrega;1
41.114693944468;1.2517597037048;Càrrega/descàrrega;4
41.114426439219;1.251520482209;Càrrega/descàrrega;2
41.113836095389;1.2510495374344;Càrrega/descàrrega;2
41.1169949;1.2478853;Càrrega/descàrrega;3
41.1168553;1.2472554;Càrrega/descàrrega;3
41.1158726;1.2435727;Càrrega/descàrrega;7
41.1160012;1.2429842;Càrrega/descàrrega;2
41.116368;1.242586;Càrrega/descàrrega;2
41.1162175;1.2416795;Càrrega/descàrrega;3
41.1163988;1.2440048;Càrrega/descàrrega;2
41.116419;1.2445097;Càrrega/descàrrega;1
41.1172733;1.2447565;Càrrega/descàrrega;2
41.1114441;1.2439123;Càrrega/descàrrega;1
41.1137497;1.2442875;Càrrega/descàrrega;2
41.115768;1.2459777;Càrrega/descàrrega;2
41.1158062;1.2458883;Càrrega/descàrrega;1
41.118928035299;1.2506823999058;Càrrega/descàrrega;2
41.118014606199;1.2499637466561;Càrrega/descàrrega;1
41.1249427;1.2529342;Càrrega/descàrrega;2
41.1219533;1.2521788;Càrrega/descàrrega;3
41.1214458;1.2518405;Càrrega/descàrrega;2
41.1122886;1.2506966;Càrrega/descàrrega;1
41.1117707;1.2505348;Càrrega/descàrrega;2
41.1112727;1.2471051;Càrrega/descàrrega;3
41.1114167;1.2460127;Càrrega/descàrrega;3
41.1119481;1.2446789;Càrrega/descàrrega;5
41.116144612912;1.2529558917679;Càrrega/descàrrega;2
41.11615168338;1.2530375789018;Càrrega/descàrrega;2
41.1148824;1.24822;Càrrega/descàrrega;2
41.113992594804;1.2465061441803;Càrrega/descàrrega;4
41.113830683277;1.2462168190491;Càrrega/descàrrega;3
41.1145052;1.2469523;Càrrega/descàrrega;2
41.1110981;1.2464614;Càrrega/descàrrega;3
41.113935111411;1.2492553693115;Càrrega/descàrrega;3
41.114173154066;1.248584235582;Càrrega/descàrrega;2
41.1155248;1.2466541;Càrrega/descàrrega;4
41.115841;1.2465038;Càrrega/descàrrega;3
41.1574731;1.1031356;Càrrega/descàrrega;3
41.116594;1.2550541;Càrrega/descàrrega;9
41.1161508;1.2560314;Càrrega/descàrrega;2
41.1161103;1.2561442;Càrrega/descàrrega;6
41.11872375499;1.254737383606;Càrrega/descàrrega;2
41.11987;1.2539265;Càrrega/descàrrega;1
41.118776262021;1.2524822613491;Càrrega/descàrrega;2
41.118176770856;1.2589468398811;Càrrega/descàrrega;3
41.1175018;1.2506398;Càrrega/descàrrega;2
41.1147927;1.2507887;Càrrega/descàrrega;2
41.1150114;1.251109;Càrrega/descàrrega;2
41.1153187;1.2512094;Càrrega/descàrrega;2
41.1136492;1.2429369;Càrrega/descàrrega;4
41.119811912074;1.2514257014667;Càrrega/descàrrega;2
41.117586288594;1.2467367448855;Càrrega/descàrrega;2
41.117519233177;1.2465025577517;Càrrega/descàrrega;3
41.119675218459;1.2495449914441;Càrrega/descàrrega;5
41.1115062;1.2473306;Càrrega/descàrrega;3
41.1111785;1.2494434;Càrrega/descàrrega;1
41.1123246;1.2496057;Càrrega/descàrrega;3
41.1112686;1.2519903;Càrrega/descàrrega;2
41.1211206;1.2459434;Càrrega/descàrrega;4
41.12206;1.2448486;Càrrega/descàrrega;3
41.1241977;1.2387525;Càrrega/descàrrega;2
41.122087;1.2494134;Càrrega/descàrrega;4
41.1190119;1.2423514;Càrrega/descàrrega;4
41.1234686;1.246579;Motocicletes;5
41.1603671;1.2409413;Motocicletes;4
41.1234877;1.2465784;Motocicletes;4
41.124086915179;1.2157622170578;Càrrega/descàrrega;3
41.124360608546;1.2160624301636;Motocicletes;10
41.1183714;1.2525171;Exclusives Discapacitats;2
41.1181579;1.2456569;Exclusives Discapacitats;2
41.1218019;1.238857;Exclusives Discapacitats;1
41.1216838;1.2447126;Exclusives d'ús particular;1
41.1165288;1.2522387;Exclusives d'ús particular;1
41.1216838;1.2447126;Exclusives d'ús particular;1
41.1162344;1.2528695;Exclusives d'ús particular;1
41.115841;1.2465038;Exclusives d'ús particular;1
41.1115578;1.251509;Exclusives d'ús particular;2
41.1380854;1.2497505;Exclusives d'ús particular;1
41.1393451;1.2478435;Exclusives d'ús particular;1
41.1382656;1.2525856;Exclusives d'ús particular;1
41.1395393;1.249297;Exclusives d'ús particular;1
41.1395393;1.249297;Exclusives d'ús particular;1
41.1136461;1.2465217;Exclusives d'ús particular;1
41.1132163;1.2492097;Exclusives d'ús particular;1
41.1140049;1.2509536;Motocicletes;25
41.1134702;1.2531168;Motocicletes;20
41.125979705378;1.2348939281994;Motocicletes;10
41.1240398;1.2401341;Motocicletes;10
41.1368755;1.2565094;Motocicletes;6
41.1121583;1.2452484;Motocicletes;20
41.1239494;1.1906314;Motocicletes;4
41.1268715;1.2461004;Motocicletes;8
41.1248899;1.2470575;Motocicletes;6
41.1253614;1.2497534;Motocicletes;6
41.1252984;1.2514162;Motocicletes;6
41.1246295;1.251601;Motocicletes;6
41.125117;1.2523103;Motocicletes;6
41.1115639;1.2438328;Exclusives d'ús particular;1
41.1199942;1.242716;Exclusives d'ús particular;6
41.114949;1.2462047;Exclusives d'ús particular;1
41.119164;1.2537095;Exclusives d'ús particular;1
41.1113574;1.2500184;Exclusives d'ús particular;1
41.119401;1.2513549;Exclusives d'ús particular;1
41.1239404;1.2141588;Exclusives d'ús particular;1
41.1139455;1.2491642;Exclusives d'ús particular;1
41.1131091;1.2507018;Exclusives d'ús particular;1
41.1168993;1.2510345;Exclusives d'ús particular;3
41.1129775;1.2440048;Exclusives d'ús particular;1
41.1245521;1.2412866;Exclusives d'ús particular;1
41.1147058;1.2477282;Exclusives d'ús particular;1
41.1180518;1.2516983;Exclusives d'ús particular;1
41.1104649;1.2477284;Exclusives d'ús particular;1
41.1203893;1.2536895;Exclusives d'ús particular;1
41.1138753;1.2555428;Exclusives d'ús particular;1
41.1146678;1.2539918;Exclusives d'ús particular;1
41.1154492;1.2536446;Exclusives d'ús particular;1
41.116112;1.2176352;Exclusives d'ús particular;2
41.1107841;1.2507759;Exclusives d'ús particular;1
41.1116225;1.2425941;Exclusives d'ús particular;1
41.111952;1.2453436;Exclusives d'ús particular;1
41.1170372;1.2459751;Exclusives d'ús particular;1
41.1188633;1.2607489;Exclusives d'ús particular;1
41.1173376;1.192217;Exclusives d'ús particular;1
41.1149675;1.2545467;Exclusives d'ús particular;1
41.1161139;1.2415069;Exclusives d'ús particular;1
41.1183937;1.2522727;Exclusives d'ús particular;1
41.1193676;1.2106678;Exclusives d'ús particular;1
41.1171435;1.2174962;Exclusives d'ús particular;2
41.116422;1.210139;Exclusives d'ús particular;1
41.1181687;1.2421448;Exclusives d'ús particular;1
41.1203012;1.215062;Exclusives d'ús particular;1
41.1615871;1.2411378;Exclusives d'ús particular;2
41.1392271;1.2534523;Exclusives d'ús particular;2
41.1150466;1.2493949;Exclusives d'ús particular;1
