codi;nom;adreca;latitud;longitud
25673;Cubertain;Cubertain, 36;41.126053176;1.2141604722
25631;Sector Nord;Av. Sector Nord s/n;41.125818934;1.1816295236
25091;L'Albada;Baró Pierre de Coubertin;41.125288698;1.2170714289
25008;Barri Nou;Camí dels Antigons s/n;41.124734591;1.1802014709
25074;Hospital Joan XXIII;Doctor Mallafre s/n;41.123388324;1.2378828228
25585;Mozzart;Wolfang Amadeus Mozart, edifici Mozart;41.122439695;1.2638197839
25004;Argentina;Avinguda de l'Argentina, 1A;41.121529569;1.2414894328
25081;Josep Roqué;Josep Roque, 5;41.121526033;1.2210441381
25639;Tarradellas;Riu Besós, 13;41.119089581;1.2092388421
25529;Carrer Vint;Explanada Mercat / Llar de Jubilats;41.117800282;1.1944153905
25104;Mallorca;Francesc Bastos, 16;41.114852821;1.2421573028
25185;St. Salvador;Av. Pallaresos, Bloc 11;41.16452667;1.244255
25135;Pallaresos;Av. Pallaresos, camp de tir;41.16358833;1.241521667
25007;Pallaresos;Av. Pallaresos, camp de tir;41.16355333;1.2415966667
25093;Les Botigues;Av. St. Salvador, col·legi;41.16042833;1.24112
25149;Planot;Carrer del Planot, 1. Edifici Telefónica;41.15967167;1.24146
25140;Part Baixa;Av. del Montsant, bloc 21-22;41.15888833;1.238918333
25575;Mas d'en Garrot;Mas d'en Garrot 62-64;41.15798667;1.246103333
25160;Prefabricats;Av. St. Salvador, cantonada parada gran;41.15597333;1.24124
25474;L'Alzina del Mas;Mas d'en Garrot, 64-32;41.15589667;1.24358
25186;Sta. Isabel;Passeig Sta. Isabel amb Av. del Montsant;41.15567667;1.238633333
25614;Prefabricats;Av. St. Salvador, 132;41.15530333;1.241098333
25173;Secà;Mas dels Cups amb Secà;41.15500667;1.244125
25092;L'Ebre;Passeig Sta. Isabel;41.15384167;1.239013333
25210;L' Ebre ;Passeig Sta. Isabel;41.15383167;1.239016667
25184;St. Ramon;Av. St. Salvador, 37;41.15365333;1.240688333
25156;Pont del Diable;Ctra. N-240, Pont del Diable;41.14674667;1.239676667
25707;Cigonya, 16;Cigonya, 16;41.14326721;1.29253169
25705;Oreneta, 14;Oreneta, 14;41.14073443;1.29349007
25202;Violant d'Hongria;Violant d'Hongria, 25;41.13928264;1.2582461536
25637;Tamarit;Ctra. N-340, Km 1172;41.13907333;1.352168333
25454;Castell de Tamarit;Passeig de l' Esquirol, acces al camping;41.13843167;1.35331
25532;Castell de Tamarit;Passeig de l' Esquirol, acces al camping;41.13840333;1.35244
25551;Europa;Front bloc Europa;41.13807333;1.252925
25655;Violant d'Hongria;Violant d'Hongria, 32;41.13793333;1.25672
25568;La Plaça;Alosa, 23;41.13773667;1.293895
25050;El Pont;Av Mediterrani, front 2-4;41.13771833;1.345891667
25715;Amadeus Vives, 4;Amadeus Vives, 4;41.13767221;1.29701875
25541;El Pont;Av. Mediterrani, 2-4;41.13763167;1.34604
25556;Guineu;Passeig de l'esquirol s/n, direccio Tgna;41.13728833;1.350891667
25629;St. Jordi;Front bloc St. Jordi;41.13658667;1.253466667
25584;Montsià;Av. Mediterrani, 24;41.13550167;1.346346667
25549;Esquirol;Passeig de l' Esquirol, front diposits EMATSA,direcc. Tgna;41.13543667;1.353706667
25124;Montsià;Av. Mediterrani, front 24;41.13542333;1.346245
25518;Bon Sol;Ctra. Llevantina, 4;41.13380167;1.302093333
25036;Compte de Rius;Marcel·li Domingo / Col·legi La Salle;41.13345167;1.244495
25589;Països Catalans;Av. Països Catalans, 29;41.13281833;1.246318333
25633;Solimar;Pl. Creu del Sud, 1;41.13246667;1.307856667
25516;Blauet;Passeig del Blauet s/n;41.13227833;1.356278333
25134;Països Catalans;Av. Països Catalans, URV;41.13221167;1.245633333
25588;Osona;Av. Mediterrani, 62;41.13197667;1.345206667
25111;Mas Rabassa;Ctra. N-340 Km-1168,5;41.13184333;1.311075
25177;Solimar;Ctra. N-340 Km-1168;41.13177167;1.306511667
25057;Escola d'art;Zona Educacional;41.13173167;1.24104
25132;Osona;Av. Mediterrani, front 62;41.13158333;1.345041667
25562;Joan Molas;Av. Països Catalans, 15;41.13073333;1.244195
25567;La Mora;C/ de la Baixa Garrotxa, 2;41.13047833;1.346391667
25700;Terra Ferma, 20;Terra Ferma, 20;41.13012603;1.29109605
25607;Platja Llarga;Ctra. N-340, accés a Ciutat Residencial;41.12999167;1.298603333
25699;Cota, 8;Cota, 8;41.12899395;1.29317836
25698;Cota, 5;Cota, 5;41.12891152;1.29344969
25643;Tennis;Ctra. N-340 accés tennis;41.12671333;1.292291667
25084;La Floresta T-11;Vial Circunvalació La Floresta;41.12670667;1.213365
25470;Escola Tarragona;Darrera Hosp. Joan XXIII;41.12664667;1.237516667
25524;Cala Romana;Ctra. N-340, Km. 1167;41.12546833;1.289053333
25510;Aqí¼educte;Rovira i Virgili, 68;41.12483167;1.253045
25514;Barri Nou;Camí dels Antigons, 1;41.12469833;1.180278333
25077;Institut;Riu Segre, Institut Campclar, direcció Campclar;41.12375333;1.211355
25554;Goya;Covadonga s/n;41.12350333;1.241331667
25560;Institut;Riu Segre, Intitut Campclar direccio Tgna;41.12336167;1.211216667
25507;4 Garrofers;Av. Catalunya 60;41.12307667;1.244611667
