"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"BOSCOS DE TARRAGONA (ELS)","58","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","55","D","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","54","H","ESTRANGER","24","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","75","D","ESPANYA","15","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","15","H","ESPANYA","129","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","16","H","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","72","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","15","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","73","H","ESPANYA","70","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","40","H","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","20","D","ESTRANGER","35","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","17","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","32","D","ESTRANGER","25","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","64","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","16","H","ESTRANGER","39","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","43","H","ESPANYA","35","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","58","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","36","H","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","50","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","80","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","75","H","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","15","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","44","H","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","15","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","92","D","ESPANYA","27","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","13","D","ESPANYA","131","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","93","D","ESPANYA","21","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","13","H","ESPANYA","85","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","64","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","13","H","ESPANYA","251","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","15","D","ESTRANGER","14","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","71","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","13","D","ESTRANGER","19","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","23","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","34","D","ESTRANGER","34","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","13","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","56","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","14","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","39","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","41","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","87","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","79","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","12","D","ESPANYA","64","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","61","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","12","D","ESPANYA","230","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","57","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","13","H","ESTRANGER","74","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","12","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","13","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","30","D","ESTRANGER","31","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","33","H","ESTRANGER","83","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","43","H","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","71","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","62","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","88","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","48","H","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","41","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","36","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","32","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","11","H","ESTRANGER","20","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","11","H","ESPANYA","41","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","79","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","42","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","59","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","25","H","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","69","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","44","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","12","H","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","12","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","12","H","ESTRANGER","19","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","64","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","10","D","ESPANYA","91","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","10","D","ESTRANGER","32","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","25","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","10","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","44","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","11","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","28","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","72","H","ESPANYA","16","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","47","H","ESTRANGER","30","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","69","D","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","52","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","65","D","ESTRANGER","16","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","9","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","9","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","72","D","ESPANYA","24","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","70","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","21","H","ESTRANGER","20","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","57","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","94","D","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","8","H","ESPANYA","67","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","74","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","74","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","91","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","8","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","9","D","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","9","H","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","16","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","36","D","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","83","D","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","87","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","37","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","63","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","75","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","76","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","19","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","24","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","80","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","7","D","ESPANYA","49","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","66","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","52","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","66","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","8","H","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","42","D","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","6","H","ESPANYA","110","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","7","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","6","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","6","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","84","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","71","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","7","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","38","H","ESTRANGER","24","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","88","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","28","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","37","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","6","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","30","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","22","H","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","78","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","34","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","28","D","ESTRANGER","21","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","5","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","87","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","5","D","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","72","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","5","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","7","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","56","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","3","D","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","3","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","4","D","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","3","D","ESTRANGER","11","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","3","D","ESPANYA","33","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","81","H","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","86","D","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","49","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","5","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","57","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","72","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","77","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","31","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","76","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","87","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","66","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","16","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","33","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","3","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","10","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","4","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","77","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","67","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","13","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","81","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","37","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","24","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","4","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","29","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","57","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","29","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","25","D","ESTRANGER","22","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","28","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","80","D","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","26","H","ESPANYA","16","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","57","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","80","H","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","92","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","27","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","86","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","81","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","25","H","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","86","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","68","H","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","83","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","59","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","98","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","74","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","76","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","77","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","52","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","84","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","78","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","38","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","93","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","85","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","68","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","103","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","91","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","91","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","64","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","39","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","59","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","73","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","54","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","74","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","54","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","95","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","60","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","83","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","66","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","92","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","93","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","58","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","55","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","79","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","36","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","94","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","97","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","80","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","98","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","105","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","88","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","46","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","98","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","56","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","97","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","78","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","36","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","37","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","58","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","67","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","87","D","ESPANYA","25","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","68","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","92","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","3","D","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","3","H","ESTRANGER","56","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","65","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","9","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","19","D","ESPANYA","30","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","93","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","9","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","3","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","80","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","95","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","42","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","2","D","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","87","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","2","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","11","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","2","H","ESPANYA","27","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","77","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","40","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","2","H","ESTRANGER","18","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","87","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","61","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","10","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","23","H","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","39","H","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","19","H","ESTRANGER","16","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","5","H","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","32","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","58","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","60","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","89","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","1","D","ESPANYA","178","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","25","D","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","40","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","70","D","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","2","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","1","D","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","9","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","54","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","21","H","ESPANYA","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","1","D","ESPANYA","53","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","90","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","17","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","36","H","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","66","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","37","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","43","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","61","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
