"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"BONAVISTA","44","H","ESTRANGER","36","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","43","D","ESPANYA","94","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","23","H","ESTRANGER","159","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","45","D","ESTRANGER","70","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","29","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","67","H","ESPANYA","19","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","53","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","46","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","81","D","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","61","D","ESTRANGER","64","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","21","H","ESPANYA","283","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","50","H","ESPANYA","54","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","26","D","ESPANYA","59","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","21","H","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","21","H","ESTRANGER","20","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","21","D","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","69","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","21","H","ESPANYA","11","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","21","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","100","D","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","46","D","ESTRANGER","13","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","22","H","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","72","D","ESPANYA","18","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","51","D","ESPANYA","18","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","57","H","ESPANYA","21","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","58","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","42","D","ESPANYA","50","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","50","D","ESTRANGER","25","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","95","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","56","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","43","D","ESTRANGER","149","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","62","D","ESTRANGER","62","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","45","D","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","84","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","26","H","ESTRANGER","176","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","35","H","ESPANYA","54","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","57","D","ESPANYA","60","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","42","D","ESTRANGER","68","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","87","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","52","H","ESPANYA","53","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","43","H","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","43","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","62","D","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
