"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25675,0","Ramon y Cajal, 40","Ramon y Cajal 40","41.1162153025","1.245984301","4314820002","AJUNTAMENT DE TARRAGONA"
"25464,0","Parc","Ramón y Cajal, Parc Central","41.1161703416","1.240105033","4314820002","AJUNTAMENT DE TARRAGONA"
"25129,0","Naranjos","Riu Monstant, front 4","41.1161466667","1.2145883333","4314820002","AJUNTAMENT DE TARRAGONA"
"25531,0","Carrer Vint, 10","Carrer Vint, 10","41.1159394743","1.1937394068","4314820002","AJUNTAMENT DE TARRAGONA"
"25047,0","Balcó","Via Augusta, 1-3","41.1157533333","1.2588983333","4314820002","AJUNTAMENT DE TARRAGONA"
"25159,0","Prat de la Riba, 11","Prat de la Riba, 11","41.1156474904","1.2469715439","4314820002","AJUNTAMENT DE TARRAGONA"
"25189,0","Tanatori","Polígon Francolí parc. 12A","41.1152566667","1.232785","4314820002","AJUNTAMENT DE TARRAGONA"
"Ead25660","Escola Arrabassada","Sin Definir","41.1152403001","1.2710005046","4314820002","AJUNTAMENT DE TARRAGONA"
"25066,0","Fortí","Passeig Marítim Rafael de Casanova, 21","41.1151116667","1.26726","4314820002","AJUNTAMENT DE TARRAGONA"
"25116,0","Miracle Platja","Passeig Marítim Rafael de Casanova","41.1146866667","1.2622116667","4314820002","AJUNTAMENT DE TARRAGONA"
"25027,0","Casanova","Passeig Maritim Rafael de Casanova, 27","41.1142433333","1.2703466667","4314820002","AJUNTAMENT DE TARRAGONA"
"25012,0","Bombers","Autovia de Salou","41.1139283333","1.2176983333","4314820002","AJUNTAMENT DE TARRAGONA"
"25046,0","Eix Transversal","Polígon Francolí, parcela 4","41.1138183333","1.2242583333","4314820002","AJUNTAMENT DE TARRAGONA"
"25153,0","Polígon Francolí","Polígon Francolí, parc. 10","41.1137733333","1.2293516667","4314820002","AJUNTAMENT DE TARRAGONA"
"25161,0","Prim","Plaça Prim, 1","41.1134067006","1.2508837022","4314820002","AJUNTAMENT DE TARRAGONA"
"25105,0","Pere Martell, 51","Pere Martell, 51","41.1130122641","1.2431842089","4314820002","AJUNTAMENT DE TARRAGONA"
"25009,0","Bastos","Torres Jordi, 14","41.1122217422","1.2411427572","4314820002","AJUNTAMENT DE TARRAGONA"
"25194,0","Torres Jordi","Passeig de l'Independéncia, passatge Xavier","41.1118736518","1.2385773808","4314820002","AJUNTAMENT DE TARRAGONA"
"25167,0","Reial","Reial, 27","41.1115356639","1.2450500652","4314820002","AJUNTAMENT DE TARRAGONA"
"25560,0","Estació","Cr Comerç, 7-9","41.1113592806","1.2521899492","4314820002","AJUNTAMENT DE TARRAGONA"
"25599,0","Pl. Carros","Reial, 9","41.1106697199","1.2499192358","4314820002","AJUNTAMENT DE TARRAGONA"
"25157,0","Port Esportiu","Passeig Marítim Rafael de Casanova, Port Esportiu","41.1104416667","1.2527366667","4314820002","AJUNTAMENT DE TARRAGONA"
"25680,0","El Serrallo","Trafalgar, 58","41.1102135033","1.2433875203","4314820002","AJUNTAMENT DE TARRAGONA"
"25880,0","Marina Tarraco","Moll d'Aragó","41.1087695543","1.2495138869","4314820002","AJUNTAMENT DE TARRAGONA"
"25035,0","Complex Educatiu","Complex Educatiu, Laboral","41.1022183333","1.202325","4314820002","AJUNTAMENT DE TARRAGONA"
"25456,0","Port",,"41.0822185755","1.2182217836","4314820002","AJUNTAMENT DE TARRAGONA"
"25719,0","Mas Pastor","Cami Mas del Frare, 1","41.159329263","1.2697288692","4314820002","AJUNTAMENT DE TARRAGONA"
"25689,0","Rodolat del Moro","Travessia Comella Moro, 9","41.150067446","1.2689660559","4314820002","AJUNTAMENT DE TARRAGONA"
"25718,0","Rodolat del Moro-2","Travessia Comella Moro-9","41.150067446","1.2689660559","4314820002","AJUNTAMENT DE TARRAGONA"
"25651,0","Veneçuela","Bloc Veneçuela","41.139457244","1.2491981685","4314820002","AJUNTAMENT DE TARRAGONA"
"25578,0","Miramar","Av. Països Catalans, bloc La Mussara","41.136525275","1.2489911914","4314820002","AJUNTAMENT DE TARRAGONA"
"25563,0","Joan Serra","Av. Països Catalans, front 8","41.129662165","1.2428967543","4314820002","AJUNTAMENT DE TARRAGONA"
"25031,0","Centre Comercial","Vial de servei Les Gavarres / Centre Comercial","41.127089892","1.2053452469","4314820002","AJUNTAMENT DE TARRAGONA"
"25673,0","Cubertain","Cubertain, 36","41.126053176","1.2141604722","4314820002","AJUNTAMENT DE TARRAGONA"
"25631,0","Sector Nord","Av. Sector Nord s/n","41.125818934","1.1816295236","4314820002","AJUNTAMENT DE TARRAGONA"
"25091,0","L'Albada","Baró Pierre de Coubertin","41.125288698","1.2170714289","4314820002","AJUNTAMENT DE TARRAGONA"
"25008,0","Barri Nou","Camí dels Antigons s/n","41.124734591","1.1802014709","4314820002","AJUNTAMENT DE TARRAGONA"
"25074,0","Hospital Joan XXIII","Doctor Mallafre s/n","41.123388324","1.2378828228","4314820002","AJUNTAMENT DE TARRAGONA"
"25585,0","Mozzart","Wolfang Amadeus Mozart, edifici Mozart","41.122439695","1.2638197839","4314820002","AJUNTAMENT DE TARRAGONA"
"25004,0","Argentina","Avinguda de l'Argentina, 1A","41.121529569","1.2414894328","4314820002","AJUNTAMENT DE TARRAGONA"
"25081,0","Josep Roqué","Josep Roque, 5","41.121526033","1.2210441381","4314820002","AJUNTAMENT DE TARRAGONA"
"25639,0","Tarradellas","Riu Besós, 13","41.119089581","1.2092388421","4314820002","AJUNTAMENT DE TARRAGONA"
"25529,0","Carrer Vint","Explanada Mercat / Llar de Jubilats","41.117800282","1.1944153905","4314820002","AJUNTAMENT DE TARRAGONA"
"25104,0","Mallorca","Francesc Bastos, 16","41.114852821","1.2421573028","4314820002","AJUNTAMENT DE TARRAGONA"
"25185,0","St. Salvador","Av. Pallaresos, Bloc 11","41.16452667","1.244255","4314820002","AJUNTAMENT DE TARRAGONA"
"25135,0","Pallaresos","Av. Pallaresos, camp de tir","41.16358833","1.241521667","4314820002","AJUNTAMENT DE TARRAGONA"
"25007,0","Pallaresos","Av. Pallaresos, camp de tir","41.16355333","1.2415966667","4314820002","AJUNTAMENT DE TARRAGONA"
"25093,0","Les Botigues","Av. St. Salvador, col·legi","41.16042833","1.24112","4314820002","AJUNTAMENT DE TARRAGONA"
"25149,0","Planot","Carrer del Planot, 1. Edifici Telefónica","41.15967167","1.24146","4314820002","AJUNTAMENT DE TARRAGONA"
"25140,0","Part Baixa","Av. del Montsant, bloc 21-22","41.15888833","1.238918333","4314820002","AJUNTAMENT DE TARRAGONA"
"25575,0","Mas d'en Garrot","Mas d'en Garrot 62-64","41.15798667","1.246103333","4314820002","AJUNTAMENT DE TARRAGONA"
"25160,0","Prefabricats","Av. St. Salvador, cantonada parada gran","41.15597333","1.24124","4314820002","AJUNTAMENT DE TARRAGONA"
"25474,0","L'Alzina del Mas","Mas d'en Garrot, 64-32","41.15589667","1.24358","4314820002","AJUNTAMENT DE TARRAGONA"
"25186,0","Sta. Isabel","Passeig Sta. Isabel amb Av. del Montsant","41.15567667","1.238633333","4314820002","AJUNTAMENT DE TARRAGONA"
"25614,0","Prefabricats","Av. St. Salvador, 132","41.15530333","1.241098333","4314820002","AJUNTAMENT DE TARRAGONA"
"25173,0","Secà","Mas dels Cups amb Secà","41.15500667","1.244125","4314820002","AJUNTAMENT DE TARRAGONA"
"25092,0","L'Ebre","Passeig Sta. Isabel","41.15384167","1.239013333","4314820002","AJUNTAMENT DE TARRAGONA"
"25210,0","L' Ebre ","Passeig Sta. Isabel","41.15383167","1.239016667","4314820002","AJUNTAMENT DE TARRAGONA"
"25184,0","St. Ramon","Av. St. Salvador, 37","41.15365333","1.240688333","4314820002","AJUNTAMENT DE TARRAGONA"
"25156,0","Pont del Diable","Ctra. N-240, Pont del Diable","41.14674667","1.239676667","4314820002","AJUNTAMENT DE TARRAGONA"
"25707,0","Cigonya, 16","Cigonya, 16","41.14326721","1.29253169","4314820002","AJUNTAMENT DE TARRAGONA"
"25705,0","Oreneta, 14","Oreneta, 14","41.14073443","1.29349007","4314820002","AJUNTAMENT DE TARRAGONA"
"25202,0","Violant d'Hongria","Violant d'Hongria, 25","41.13928264","1.2582461536","4314820002","AJUNTAMENT DE TARRAGONA"
