ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2018,1,"DEFUNCIO",118,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"INSCRIPCIO INDEGUDA",4,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"EMIGRACIO",403,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,2,"DEFUNCIO",96,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,3,"INSCRIPCIO INDEGUDA",2,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,3,"EMIGRACIO",412,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,3,"DEFUNCIO",95,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"EMIGRACIO",482,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"DEFUNCIO",87,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"INSCRIPCIO INDEGUDA",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"EMIGRACIO",480,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"DEFUNCIO",79,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"INSCRIPCIO INDEGUDA",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"EMIGRACIO",402,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"DEFUNCIO",84,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"INSCRIPCIO INDEGUDA",9,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"EMIGRACIO",492,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"DEFUNCIO",78,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"INSCRIPCIO INDEGUDA",178,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"EMIGRACIO",440,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"DEFUNCIO",92,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"EMIGRACIO",510,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"DEFUNCIO",61,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"EMIGRACIO",559,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"DEFUNCIO",94,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"EMIGRACIO",464,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"DEFUNCIO",71,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"EMIGRACIO",401,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"DEFUNCIO",91,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"EMIGRACIO",396,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"DEFUNCIO",124,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"INSCRIPCIO INDEGUDA",4,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"EMIGRACIO",342,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"DEFUNCIO",85,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"INSCRIPCIO INDEGUDA",5,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"EMIGRACIO",468,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"DEFUNCIO",83,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"INSCRIPCIO INDEGUDA",4,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"EMIGRACIO",392,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"DEFUNCIO",85,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"INSCRIPCIO INDEGUDA",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"EMIGRACIO",448,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"DEFUNCIO",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"INSCRIPCIO INDEGUDA",8,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"EMIGRACIO",404,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"DEFUNCIO",79,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"INSCRIPCIO INDEGUDA",3,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"EMIGRACIO",403,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"DEFUNCIO",90,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"INSCRIPCIO INDEGUDA",382,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"EMIGRACIO",421,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"DEFUNCIO",63,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"INSCRIPCIO INDEGUDA",7,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"EMIGRACIO",515,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"DEFUNCIO",63,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"INSCRIPCIO INDEGUDA",107,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"EMIGRACIO",472,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"DEFUNCIO",97,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,11,"EMIGRACIO",433,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,11,"DEFUNCIO",80,"4314820002","AJUNTAMENT DE TARRAGONA"
