ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2018,3,"NEIXEMENT",111,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,3,"CANVI RESIDENCIA",665,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"NEIXEMENT",82,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,4,"CANVI RESIDENCIA",728,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"OMISIO",34,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"NEIXEMENT",91,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,5,"CANVI RESIDENCIA",679,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"OMISIO",14,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"NEIXEMENT",78,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,6,"CANVI RESIDENCIA",634,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"OMISIO",29,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"NEIXEMENT",107,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,7,"CANVI RESIDENCIA",728,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"NEIXEMENT",115,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,8,"CANVI RESIDENCIA",666,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"NEIXEMENT",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,9,"CANVI RESIDENCIA",843,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"OMISIO",37,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"NEIXEMENT",113,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,10,"CANVI RESIDENCIA",911,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"OMISIO",14,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"NEIXEMENT",114,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,11,"CANVI RESIDENCIA",764,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"OMISIO",19,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"NEIXEMENT",116,"4314820002","AJUNTAMENT DE TARRAGONA"
2018,12,"CANVI RESIDENCIA",510,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"NEIXEMENT",101,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,1,"CANVI RESIDENCIA",516,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"NEIXEMENT",104,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,2,"CANVI RESIDENCIA",525,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"OMISIO",20,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"NEIXEMENT",101,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,3,"CANVI RESIDENCIA",643,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"OMISIO",6,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"NEIXEMENT",106,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,4,"CANVI RESIDENCIA",514,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"NEIXEMENT",86,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,5,"CANVI RESIDENCIA",606,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"NEIXEMENT",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,6,"CANVI RESIDENCIA",577,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"NEIXEMENT",92,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,7,"CANVI RESIDENCIA",588,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"OMISIO",25,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"NEIXEMENT",120,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,8,"CANVI RESIDENCIA",564,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"OMISIO",36,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"NEIXEMENT",91,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,9,"CANVI RESIDENCIA",853,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"OMISIO",25,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"NEIXEMENT",110,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,10,"CANVI RESIDENCIA",668,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,11,"OMISIO",32,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,11,"NEIXEMENT",95,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,11,"CANVI RESIDENCIA",652,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,12,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,12,"NEIXEMENT",98,"4314820002","AJUNTAMENT DE TARRAGONA"
2017,12,"CANVI RESIDENCIA",467,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"OMISIO",29,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"NEIXEMENT",110,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,1,"CANVI RESIDENCIA",504,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"OMISIO",12,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"NEIXEMENT",96,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,2,"CANVI RESIDENCIA",499,"4314820002","AJUNTAMENT DE TARRAGONA"
2016,3,"OMISIO",15,"4314820002","AJUNTAMENT DE TARRAGONA"
